ID,FIFA,Name,Club
/player/20801/c-ronaldo-dos-santos-aveiro/170099/,17,C. Ronaldo dos Santos Aveiro,Real Madrid
/player/158023/lionel-messi/170099/,17,Lionel Messi,FC Barcelona
/player/167495/manuel-neuer/170099/,17,Manuel Neuer,FC Bayern München
/player/176580/luis-suarez/170099/,17,Luis Suárez,FC Barcelona
/player/190871/neymar-da-silva-santos-jr/170099/,17,Neymar da Silva Santos Jr.,FC Barcelona
/player/41236/zlatan-ibrahimovic/170099/,17,Zlatan Ibrahimović,Manchester United
/player/193080/david-de-gea-quintana/170099/,17,David De Gea Quintana,Manchester United
/player/188545/robert-lewandowski/170099/,17,Robert Lewandowski,FC Bayern München
/player/173731/gareth-bale/170099/,17,Gareth Bale,Real Madrid
/player/176635/mesut-ozil/170099/,17,Mesut Özil,Arsenal
/player/183277/eden-hazard/170099/,17,Eden Hazard,Chelsea
/player/192119/thibaut-courtois/170099/,17,Thibaut Courtois,Chelsea
/player/153079/sergio-aguero/170099/,17,Sergio Agüero,Manchester City
/player/164240/thiago-emiliano-da-silva/170099/,17,Thiago Emiliano da Silva,Paris Saint Germain
/player/183907/jerome-boateng/170099/,17,Jérôme Boateng,FC Bayern München
/player/155862/sergio-ramos-garcia/170099/,17,Sergio Ramos García,Real Madrid
/player/177003/luka-modric/170099/,17,Luka Modrić,Real Madrid
/player/48940/petr-cech/170099/,17,Petr Čech,Arsenal
/player/184941/alexis-sanchez/170099/,17,Alexis Sánchez,Arsenal
/player/192985/kevin-de-bruyne/170099/,17,Kevin De Bruyne,Manchester City
/player/195864/paul-pogba/170099/,17,Paul Pogba,Manchester United
/player/167948/hugo-lloris/170099/,17,Hugo Lloris,Tottenham Hotspur
/player/178603/mats-hummels/170099/,17,Mats Hummels,FC Bayern München
/player/188350/marco-reus/170099/,17,Marco Reus,Borussia Dortmund
/player/182493/diego-godin/170099/,17,Diego Godín,Atlético Madrid
/player/194765/antoine-griezmann/170099/,17,Antoine Griezmann,Atlético Madrid
/player/41/andres-iniesta-lujan/170099/,17,Andrés Iniesta Luján,FC Barcelona
/player/120533/kepler-laveran-lima-ferreira/170099/,17,Képler Laveran Lima Ferreira,Real Madrid
/player/182521/toni-kroos/170099/,17,Toni Kroos,Real Madrid
/player/168542/david-josue-jimenez-silva/170099/,17,David Josué Jimenez Silva,Manchester City
/player/9014/arjen-robben/170099/,17,Arjen Robben,FC Bayern München
/player/181872/arturo-vidal/170099/,17,Arturo Vidal,FC Bayern München
/player/188567/pierre-emerick-aubameyang/170099/,17,Pierre-Emerick Aubameyang,Borussia Dortmund
/player/200389/jan-oblak/170099/,17,Jan Oblak,Atlético Madrid
/player/152729/gerard-pique-bernabeu/170099/,17,Gerard Piqué Bernabeu,FC Barcelona
/player/168651/ivan-rakitic/170099/,17,Ivan Rakitić,FC Barcelona
/player/198710/james-rodriguez/170099/,17,James Rodríguez,Real Madrid
/player/162895/francesc-fabregas-i-soler/170099/,17,Francesc Fàbregas i Soler,Chelsea
/player/179844/diego-da-silva-costa/170099/,17,Diego da Silva Costa,Chelsea
/player/189242/philippe-coutinho-correia/170099/,17,Philippe Coutinho Correia,Liverpool
/player/139720/vincent-kompany/170099/,17,Vincent Kompany,Manchester City
/player/192883/henrikh-mkhitaryan/170099/,17,Henrikh Mkhitaryan,Manchester United
/player/190460/christian-eriksen/170099/,17,Christian Eriksen,Tottenham Hotspur
/player/179813/edinson-cavani/170099/,17,Edinson Cavani,Paris Saint Germain
/player/183898/angel-di-maria/170099/,17,Ángel Di María,Paris Saint Germain
/player/199556/marco-verratti/170099/,17,Marco Verratti,Paris Saint Germain
/player/156616/franck-ribery/170099/,17,Franck Ribéry,FC Bayern München
/player/189509/thiago-alcantara/170099/,17,Thiago Alcântara,FC Bayern München
/player/189596/thomas-muller/170099/,17,Thomas Müller,FC Bayern München
/player/197445/david-alaba/170099/,17,David Alaba,FC Bayern München
/player/192563/bernd-leno/170099/,17,Bernd Leno,Bayer 04 Leverkusen
/player/189332/jordi-alba-ramos/170099/,17,Jordi Alba Ramos,FC Barcelona
/player/189511/sergio-busquets-burgos/170099/,17,Sergio Busquets Burgos,FC Barcelona
/player/165153/karim-benzema/170099/,17,Karim Benzema,Real Madrid
/player/176676/marcelo-vieira-da-silva/170099/,17,Marcelo Vieira da Silva,Real Madrid
/player/146562/santiago-cazorla-gonzalez/170099/,17,Santiago Cazorla González,Arsenal
/player/165229/laurent-koscielny/170099/,17,Laurent Koscielny,Arsenal
/player/180403/willian-borges-da-silva/170099/,17,Willian Borges da Silva,Chelsea
/player/192505/romelu-lukaku/170099/,17,Romelu Lukaku,Everton
/player/186942/ilkay-gundogan/170099/,17,İlkay Gündoğan,Manchester City
/player/178088/juan-manuel-mata-garcia/170099/,17,Juan Manuel Mata García,Manchester United
/player/184087/toby-alderweireld/170099/,17,Toby Alderweireld,Tottenham Hotspur
/player/202126/harry-kane/170099/,17,Harry Kane,Tottenham Hotspur
/player/193301/alexandre-lacazette/170099/,17,Alexandre Lacazette,Olympique Lyonnais
/player/170890/blaise-matuidi/170099/,17,Blaise Matuidi,Paris Saint Germain
/player/177388/dimitri-payet/170099/,17,Dimitri Payet,Olympique Marseille
/player/167628/stephane-ruffier/170099/,17,Stéphane Ruffier,Saint-Étienne
/player/177610/javier-martinez-aginaga/170099/,17,Javier Martínez Aginaga,FC Bayern München
/player/172879/sokratis-papastathopoulos/170099/,17,Sokratis Papastathopoulos,Borussia Dortmund
/player/164169/filipe-luis-kasmirski/170099/,17,Filipe Luís Kasmirski,Atlético Madrid
/player/193041/keylor-navas/170099/,17,Keylor Navas,Real Madrid
/player/197781/francisco-roman-alarcon-suarez/170099/,17,Francisco Román Alarcón Suárez,Real Madrid
/player/192227/shkodran-mustafi/170099/,17,Shkodran Mustafi,Arsenal
/player/179944/david-luiz-moreira-marinho/170099/,17,David Luiz Moreira Marinho,Chelsea
/player/191202/nemanja-matic/170099/,17,Nemanja Matić,Chelsea
/player/20289/yaya-toure/170099/,17,Yaya Touré,Manchester City
/player/191740/ander-herrera-aguera/170099/,17,Ander Herrera Agüera,Manchester United
/player/204485/riyad-mahrez/170099/,17,Riyad Mahrez,Leicester City
/player/190547/kamil-glik/170099/,17,Kamil Glik,Monaco
/player/192593/danijel-subasic/170099/,17,Danijel Subašić,Monaco
/player/179783/ralf-fahrmann/170099/,17,Ralf Fährmann,Schalke 04
/player/179784/benedikt-howedes/170099/,17,Benedikt Höwedes,Schalke 04
/player/184144/nicolas-gaitan/170099/,17,Nicolás Gaitán,Atlético Madrid
/player/193747/jorge-resurreccion/170099/,17,Jorge Resurrección,Atlético Madrid
/player/208418/yannick-carrasco/170099/,17,Yannick Carrasco,Atlético Madrid
/player/142754/javier-mascherano/170099/,17,Javier Mascherano,FC Barcelona
/player/143745/arda-turan/170099/,17,Arda Turan,FC Barcelona
/player/192448/marc-andre-ter-stegen/170099/,17,Marc-André ter Stegen,FC Barcelona
/player/200145/carlos-henrique-venancio-casimiro/170099/,17,Carlos Henrique Venancio Casimiro,Real Madrid
/player/201535/raphael-varane/170099/,17,Raphaël Varane,Real Madrid
/player/204963/daniel-carvajal-ramos/170099/,17,Daniel Carvajal Ramos,Real Madrid
/player/106231/aritz-aduriz-zubeldia/170099/,17,Aritz Aduriz Zubeldia,Athletic Club
/player/212218/aymeric-laporte/170099/,17,Aymeric Laporte,Athletic Club
/player/178750/sergio-asenjo-andres/170099/,17,Sergio Asenjo Andrés,Villarreal
/player/184120/bruno-soriano-llido/170099/,17,Bruno Soriano Llido,Villarreal
/player/178509/olivier-giroud/170099/,17,Olivier Giroud,Arsenal
/player/186561/aaron-ramsey/170099/,17,Aaron Ramsey,Arsenal
/player/164468/gary-cahill/170099/,17,Gary Cahill,Chelsea
/player/172723/asmir-begovic/170099/,17,Asmir Begović,Chelsea
/player/184432/cesar-azpilicueta-tanco/170099/,17,César Azpilicueta Tanco,Chelsea
/player/189505/pedro-rodriguez-ledesma/170099/,17,Pedro Rodríguez Ledesma,Chelsea
